,date,open,high,low,close,adjcp,volume
0,2020-06-03,5.26,6.31,5.26,6.31,6.31,"2,866,574"
1,2020-06-04,6.94,6.94,6.94,6.94,6.94,"903,254"
2,2020-06-05,7.63,7.63,7.63,7.63,7.63,"1,413,685"
3,2020-06-08,8.39,8.39,8.39,8.39,8.39,"1,464,402"
4,2020-06-09,9.23,9.23,9.23,9.23,9.23,"7,559,753"
5,2020-06-10,10.15,10.15,10.15,10.15,10.15,"6,565,665"
6,2020-06-11,11.17,11.17,11.17,11.17,11.17,"3,880,493"
7,2020-06-12,12.29,12.29,12.29,12.29,12.29,"10,493,977"
8,2020-06-15,13.52,13.52,13.52,13.52,13.52,"8,931,206"
9,2020-06-16,14.12,14.5,13.62,14.25,14.25,"512,877,880"
10,2020-06-17,13.99,14.22,13.71,14.08,14.08,"298,972,170"
11,2020-06-18,13.84,14.33,13.7,13.98,13.98,"277,741,010"
12,2020-06-19,13.74,14.63,13.22,14.1,14.1,"322,000,180"
13,2020-06-22,13.82,15.51,13.63,14.35,14.35,"369,336,190"
14,2020-06-23,14.17,14.52,13.91,14.35,14.35,"209,937,870"
15,2020-06-24,14.33,14.55,13.81,13.81,13.81,"179,167,220"
16,2020-06-29,13.29,13.37,12.43,12.49,12.49,"216,884,320"
17,2020-06-30,12.57,13.14,12.45,12.84,12.84,"157,616,260"
18,2020-07-01,12.75,13.05,12.59,12.95,12.95,"130,425,627"
19,2020-07-02,12.94,14.25,12.87,14.25,14.25,"298,247,980"
20,2020-07-03,14.85,15.68,14.5,15.68,15.68,"292,028,160"
21,2020-07-06,17.25,17.25,17.25,17.25,17.25,"8,667,972"
22,2020-07-07,18.98,18.98,18.33,18.98,18.98,"147,894,640"
23,2020-07-08,18.67,20.88,18.3,20.79,20.79,"344,252,840"
24,2020-07-09,19.79,21.69,19.5,20.31,20.31,"326,553,400"
25,2020-07-10,19.53,20.27,19.22,19.72,19.72,"202,305,750"
26,2020-07-13,19.35,21.15,19.22,19.99,19.99,"209,588,370"
27,2020-07-14,19.6,21.3,19.33,20.98,20.98,"224,687,190"
28,2020-07-15,21.5,23.08,20.61,21.63,21.63,"347,834,340"
29,2020-07-16,21.6,21.6,19.47,19.47,19.47,"217,053,290"
30,2020-07-17,18.9,19.24,17.52,17.52,17.52,"180,504,380"
31,2020-07-20,17.89,18.79,17.42,18.58,18.58,"149,927,800"
